404-94###AIRTEL###Tamilnadu###~~text~~, ~~number~~, ~~date~~
404-95###AIRTEL###Kerala###~~text~~, ~~number~~, ~~date~~
404-96###AIRTEL###Haryana###~~text~~, ~~number~~, ~~date~~
404-97###AIRTEL###Uttar Pradesh (West)###~~text~~, ~~number~~, ~~date~~
404-98###AIRTEL###Gujarat###~~text~~, ~~number~~, ~~date~~
405-01###RELIANCE COMMUNICATIONS###Andhra Pradesh###~~text~~, ~~number~~, ~~date~~
405-03###RELIANCE COMMUNICATIONS###Bihar###~~text~~, ~~number~~, ~~date~~
405-04###RELIANCE COMMUNICATIONS###Chennai###~~text~~, ~~number~~, ~~date~~
405-05###RELIANCE COMMUNICATIONS###Delhi###~~text~~, ~~number~~, ~~date~~
405-06###RELIANCE COMMUNICATIONS###Gujarat###~~text~~, ~~number~~, ~~date~~
405-07###RELIANCE COMMUNICATIONS###Haryana###~~text~~, ~~number~~, ~~date~~
405-08###RELIANCE COMMUNICATIONS###Himachal Pradesh###~~text~~, ~~number~~, ~~date~~
405-09###RELIANCE COMMUNICATIONS###Jammu & Kashmir###~~text~~, ~~number~~, ~~date~~
405-10###RELIANCE COMMUNICATIONS###Karnataka###~~text~~, ~~number~~, ~~date~~
405-11###RELIANCE COMMUNICATIONS###Kerala###~~text~~, ~~number~~, ~~date~~
405-12###RELIANCE COMMUNICATIONS###Kolkata###~~text~~, ~~number~~, ~~date~~
405-13###RELIANCE COMMUNICATIONS###Maharashtra###~~text~~, ~~number~~, ~~date~~
405-14###RELIANCE COMMUNICATIONS###Madhya Pradesh###~~text~~, ~~number~~, ~~date~~
405-15###RELIANCE COMMUNICATIONS###Mumbai###~~text~~, ~~number~~, ~~date~~
405-17###RELIANCE COMMUNICATIONS###Orissa###~~text~~, ~~number~~, ~~date~~
405-18###RELIANCE COMMUNICATIONS###Punjab###~~text~~, ~~number~~, ~~date~~
405-19###RELIANCE COMMUNICATIONS###Rajasthan###~~text~~, ~~number~~, ~~date~~
405-20###RELIANCE COMMUNICATIONS###Tamilnadu###~~text~~, ~~number~~, ~~date~~
405-21###RELIANCE COMMUNICATIONS###Uttar Pradesh (East)###~~text~~, ~~number~~, ~~date~~
405-22###RELIANCE COMMUNICATIONS###Uttar Pradesh (West)###~~text~~, ~~number~~, ~~date~~
405-23###RELIANCE COMMUNICATIONS###West Bengal###~~text~~, ~~number~~, ~~date~~
405-24###HFCL INFOTEL-CDMA###Punjab###~~text~~, ~~number~~, ~~date~~
405-025###TATA TELESERVICES###Andhra Pradesh###~~text~~, ~~number~~, ~~date~~
405-026###TATA TELESERVICES###Assam###~~text~~, ~~number~~, ~~date~~
405-027###TATA TELESERVICES###Bihar###~~text~~, ~~number~~, ~~date~~
405-028###TATA TELESERVICES###Chennai###~~text~~, ~~number~~, ~~date~~
405-029###TATA TELESERVICES###Delhi###~~text~~, ~~number~~, ~~date~~
405-030###TATA TELESERVICES###Gujarat###~~text~~, ~~number~~, ~~date~~
405-031###TATA TELESERVICES###Haryana###~~text~~, ~~number~~, ~~date~~
405-032###TATA TELESERVICES###Himachal Pradesh###~~text~~, ~~number~~, ~~date~~
405-033###TATA TELESERVICES###Jammu & Kashmir###~~text~~, ~~number~~, ~~date~~
405-034###TATA TELESERVICES###Karnataka###~~text~~, ~~number~~, ~~date~~
405-035###TATA TELESERVICES###Kerala###~~text~~, ~~number~~, ~~date~~
405-036###TATA TELESERVICES###Kolkata###~~text~~, ~~number~~, ~~date~~
405-037###TATA TELESERVICES###Maharashtra###~~text~~, ~~number~~, ~~date~~
405-038###TATA TELESERVICES###Madhya Pradesh###~~text~~, ~~number~~, ~~date~~
405-039###TATA TELESERVICES###Mumbai###~~text~~, ~~number~~, ~~date~~
405-040###TATA TELESERVICES###North East###~~text~~, ~~number~~, ~~date~~
405-041###TATA TELESERVICES###Orissa###~~text~~, ~~number~~, ~~date~~
405-042###TATA TELESERVICES###Punjab###~~text~~, ~~number~~, ~~date~~
405-043###TATA TELESERVICES###Rajasthan###~~text~~, ~~number~~, ~~date~~
405-044###TATA TELESERVICES###Tamilnadu###~~text~~, ~~number~~, ~~date~~
405-045###TATA TELESERVICES###Uttar Pradesh (East)###~~text~~, ~~number~~, ~~date~~
405-046###TATA TELESERVICES###Uttar Pradesh (West)###~~text~~, ~~number~~, ~~date~~
405-047###TATA TELESERVICES###West Bengal###~~text~~, ~~number~~, ~~date~~
405-48###INDIAN RAILWAYS GSM-R###ALL CIRCLES###~~text~~, ~~number~~, ~~date~~
405-51###AIRTEL###West Bengal###~~text~~, ~~number~~, ~~date~~
405-52###AIRTEL###Bihar###~~text~~, ~~number~~, ~~date~~
405-53###AIRTEL###Orissa###~~text~~, ~~number~~, ~~date~~
405-54###AIRTEL###Uttar Pradesh (East)###~~text~~, ~~number~~, ~~date~~
405-55###AIRTEL###Jammu & Kashmir###~~text~~, ~~number~~, ~~date~~
405-56###AIRTEL###Assam###~~text~~, ~~number~~, ~~date~~
405-66###Vodafone###Uttar Pradesh (West)###~~text~~, ~~number~~, ~~date~~
405-67###Vodafone###West Bengal###~~text~~, ~~number~~, ~~date~~
405-70###IDEA###Bihar###COMP TEL NO ~~number~~;~~datetime~~;~~text~~
405-750###Vodafone###Jammu & Kashmir###~~text~~, ~~number~~, ~~date~~
405-751###Vodafone###Assam###~~text~~, ~~number~~, ~~date~~
405-752###Vodafone###Bihar###~~text~~, ~~number~~, ~~date~~
405-753###Vodafone###Orissa###~~text~~, ~~number~~, ~~date~~
405-754###Vodafone###Himachal Pradesh###~~text~~, ~~number~~, ~~date~~
405-755###Vodafone###North East###~~text~~, ~~number~~, ~~date~~
405-756###Vodafone###Madhya Pradesh###~~text~~, ~~number~~, ~~date~~
405-799###IDEA###Mumbai###COMP TEL NO ~~number~~;~~datetime~~;~~text~~
405-800###AIRCEL###Delhi###~~text~~, ~~number~~, ~~date~~
405-801###AIRCEL###Andhra Pradesh###~~text~~, ~~number~~, ~~date~~
405-802###AIRCEL###Gujarat###~~text~~, ~~number~~, ~~date~~
405-803###AIRCEL###Karnataka###~~text~~, ~~number~~, ~~date~~
405-804###AIRCEL###Maharashtra###~~text~~, ~~number~~, ~~date~~
405-805###AIRCEL###Mumbai###~~text~~, ~~number~~, ~~date~~
405-806###AIRCEL###Rajasthan###~~text~~, ~~number~~, ~~date~~
405-807###AIRCEL###Haryana###~~text~~, ~~number~~, ~~date~~
405-808###AIRCEL###Madhya Pradesh###~~text~~, ~~number~~, ~~date~~
405-809###AIRCEL###Kerala###~~text~~, ~~number~~, ~~date~~
405-810###AIRCEL###Uttar Pradesh (East)###~~text~~, ~~number~~, ~~date~~
405-811###AIRCEL###Uttar Pradesh (West)###~~text~~, ~~number~~, ~~date~~
405-812###AIRCEL###Punjab###~~text~~, ~~number~~, ~~date~~
405-813###Unitech Wireless###Haryana###~~text~~, ~~number~~, ~~date~~
405-814###Unitech Wireless###Himachal Pradesh###~~text~~, ~~number~~, ~~date~~
405-815###Unitech Wireless###Jammu & Kashmir###~~text~~, ~~number~~, ~~date~~
405-816###Unitech Wireless###Punjab###~~text~~, ~~number~~, ~~date~~
405-817###Unitech Wireless###Rajasthan###~~text~~, ~~number~~, ~~date~~
405-818###Unitech Wireless###Uttar Pradesh (West)###~~text~~, ~~number~~, ~~date~~
405-819###Unitech Wireless###Andhra Pradesh###~~text~~, ~~number~~, ~~date~~
405-820###Unitech Wireless###Karnataka###~~text~~, ~~number~~, ~~date~~
405-821###Unitech Wireless###Kerala###~~text~~, ~~number~~, ~~date~~
405-822###Unitech Wireless###Kolkata###~~text~~, ~~number~~, ~~date~~
405-823###Videocon Telecommunications Ltd.###Andhra Pradesh###~~text~~, ~~number~~, ~~date~~
405-824###Videocon Telecommunications Ltd.###Assam###~~text~~, ~~number~~, ~~date~~
405-825###Videocon Telecommunications Ltd.###Bihar###~~text~~, ~~number~~, ~~date~~
405-826###Videocon Telecommunications Ltd.###Delhi###~~text~~, ~~number~~, ~~date~~
405-827###Videocon Telecommunications Ltd.###Gujarat###~~text~~, ~~number~~, ~~date~~
405-828###Videocon Telecommunications Ltd.###Haryana###~~text~~, ~~number~~, ~~date~~
405-829###Videocon Telecommunications Ltd.###Himachal Pradesh###~~text~~, ~~number~~, ~~date~~
405-830###Videocon Telecommunications Ltd.###Jammu & Kashmir###~~text~~, ~~number~~, ~~date~~
405-831###Videocon Telecommunications Ltd.###Karnataka###~~text~~, ~~number~~, ~~date~~
405-832###Videocon Telecommunications Ltd.###Kerala###~~text~~, ~~number~~, ~~date~~
405-833###Videocon Telecommunications Ltd.###Kolkata###~~text~~, ~~number~~, ~~date~~
405-834###Videocon Telecommunications Ltd.###Madhya Pradesh###~~text~~, ~~number~~, ~~date~~
405-835###Videocon Telecommunications Ltd.###Maharashtra###~~text~~, ~~number~~, ~~date~~
405-836###Videocon Telecommunications Ltd.###Mumbai###~~text~~, ~~number~~, ~~date~~
405-837###Videocon Telecommunications Ltd.###North East###~~text~~, ~~number~~, ~~date~~
405-838###Videocon Telecommunications Ltd.###Orissa###~~text~~, ~~number~~, ~~date~~
405-839###Videocon Telecommunications Ltd.###Rajasthan###~~text~~, ~~number~~, ~~date~~
405-840###Videocon Telecommunications Ltd.###Tamilnadu###~~text~~, ~~number~~, ~~date~~
405-841###Videocon Telecommunications Ltd.###Uttar Pradesh (East)###~~text~~, ~~number~~, ~~date~~
405-842###Videocon Telecommunications Ltd.###Uttar Pradesh (West)###~~text~~, ~~number~~, ~~date~~
405-843###Videocon Telecommunications Ltd.###West Bengal###~~text~~, ~~number~~, ~~date~~
405-844###Unitech Wireless###Delhi###~~text~~, ~~number~~, ~~date~~
405-845###IDEA###Assam###COMP TEL NO ~~number~~;~~datetime~~;~~text~~
405-846###IDEA###Jammu & Kashmir###COMP TEL NO ~~number~~;~~datetime~~;~~text~~
405-848###IDEA###Kolkata###COMP TEL NO ~~number~~;~~datetime~~;~~text~~
405-849###IDEA###North East###COMP TEL NO ~~number~~;~~datetime~~;~~text~~
405-850###IDEA###Orissa###COMP TEL NO ~~number~~;~~datetime~~;~~text~~
405-852###IDEA###Tamilnadu###COMP TEL NO ~~number~~;~~datetime~~;~~text~~
405-853###IDEA###West Bengal###COMP TEL NO ~~number~~;~~datetime~~;~~text~~
405-854###LOOP###Andhra Pradesh###~~text~~, ~~number~~, ~~date~~
405-855###LOOP###Assam###~~text~~, ~~number~~, ~~date~~
405-856###LOOP###Bihar###~~text~~, ~~number~~, ~~date~~
405-857###LOOP###Delhi###~~text~~, ~~number~~, ~~date~~
405-858###LOOP###Gujarat###~~text~~, ~~number~~, ~~date~~
405-859###LOOP###Haryana###~~text~~, ~~number~~, ~~date~~
405-860###LOOP###Himachal Pradesh###~~text~~, ~~number~~, ~~date~~
405-861###LOOP###Jammu & Kashmir###~~text~~, ~~number~~, ~~date~~
405-862###LOOP###Karnataka###~~text~~, ~~number~~, ~~date~~
405-863###LOOP###Kerala###~~text~~, ~~number~~, ~~date~~
405-864###LOOP###Kolkata###~~text~~, ~~number~~, ~~date~~
405-865###LOOP###Madhya Pradesh###~~text~~, ~~number~~, ~~date~~
405-866###LOOP###Maharashtra###~~text~~, ~~number~~, ~~date~~
405-867###LOOP###North East###~~text~~, ~~number~~, ~~date~~
405-868###LOOP###Orissa###~~text~~, ~~number~~, ~~date~~
405-869###LOOP###Punjab###~~text~~, ~~number~~, ~~date~~
405-870###LOOP###Rajasthan###~~text~~, ~~number~~, ~~date~~
405-871###LOOP###Tamilnadu###~~text~~, ~~number~~, ~~date~~
405-872###LOOP###Uttar Pradesh (East)###~~text~~, ~~number~~, ~~date~~
405-873###LOOP###Uttar Pradesh (West)###~~text~~, ~~number~~, ~~date~~
405-874###LOOP###West Bengal###~~text~~, ~~number~~, ~~date~~
405-875###Unitech Wireless###Assam###~~text~~, ~~number~~, ~~date~~
405-876###Unitech Wireless###Bihar###~~text~~, ~~number~~, ~~date~~
405-877###Unitech Wireless###North East###~~text~~, ~~number~~, ~~date~~
405-878###Unitech Wireless###Orissa###~~text~~, ~~number~~, ~~date~~
405-879###Unitech Wireless###Uttar Pradesh (East)###~~text~~, ~~number~~, ~~date~~
405-880###Unitech Wireless###West Bengal###~~text~~, ~~number~~, ~~date~~
405-881###S TEL###Assam###~~text~~, ~~number~~, ~~date~~
405-882###S TEL###Bihar###~~text~~, ~~number~~, ~~date~~
405-883###S TEL###Himachal Pradesh###~~text~~, ~~number~~, ~~date~~
405-884###S TEL###Jammu & Kashmir###~~text~~, ~~number~~, ~~date~~
405-885###S TEL###North East###~~text~~, ~~number~~, ~~date~~
405-886###S TEL###Orissa###~~text~~, ~~number~~, ~~date~~
405-887###SISTEMA SHYAM###Andhra Pradesh###~~text~~, ~~number~~, ~~date~~
405-888###SISTEMA SHYAM###Assam###~~text~~, ~~number~~, ~~date~~
405-889###SISTEMA SHYAM###Bihar###~~text~~, ~~number~~, ~~date~~
405-890###SISTEMA SHYAM###Delhi###~~text~~, ~~number~~, ~~date~~
405-891###SISTEMA SHYAM###Gujarat###~~text~~, ~~number~~, ~~date~~
405-892###SISTEMA SHYAM###Haryana###~~text~~, ~~number~~, ~~date~~
405-893###SISTEMA SHYAM###Himachal Pradesh###~~text~~, ~~number~~, ~~date~~
405-894###SISTEMA SHYAM###Jammu & Kashmir###~~text~~, ~~number~~, ~~date~~
405-895###SISTEMA SHYAM###Karnataka###~~text~~, ~~number~~, ~~date~~
405-896###SISTEMA SHYAM###Kerala###~~text~~, ~~number~~, ~~date~~
405-897###SISTEMA SHYAM###Kolkata###~~text~~, ~~number~~, ~~date~~
405-898###SISTEMA SHYAM###Madhya Pradesh###~~text~~, ~~number~~, ~~date~~
405-899###SISTEMA SHYAM###Maharashtra###~~text~~, ~~number~~, ~~date~~
405-900###SISTEMA SHYAM###Mumbai###~~text~~, ~~number~~, ~~date~~
405-901###SISTEMA SHYAM###North East###~~text~~, ~~number~~, ~~date~~
405-902###SISTEMA SHYAM###Orissa###~~text~~, ~~number~~, ~~date~~
405-903###SISTEMA SHYAM###Punjab###~~text~~, ~~number~~, ~~date~~
405-904###SISTEMA SHYAM###Tamilnadu###~~text~~, ~~number~~, ~~date~~
405-905###SISTEMA SHYAM###Uttar Pradesh (East)###~~text~~, ~~number~~, ~~date~~
405-906###SISTEMA SHYAM###Uttar Pradesh (West)###~~text~~, ~~number~~, ~~date~~
405-907###SISTEMA SHYAM###West Bengal###~~text~~, ~~number~~, ~~date~~
405-912###Etisalat DB###Andhra Pradesh###~~text~~, ~~number~~, ~~date~~
405-913###Etisalat DB###Delhi###~~text~~, ~~number~~, ~~date~~
405-914###Etisalat DB###Gujarat###~~text~~, ~~number~~, ~~date~~
405-915###Etisalat DB###Haryana###~~text~~, ~~number~~, ~~date~~
405-916###Etisalat DB###Karnataka###~~text~~, ~~number~~, ~~date~~
405-917###Etisalat DB###Kerala###~~text~~, ~~number~~, ~~date~~
405-918###Etisalat DB###Maharashtra###~~text~~, ~~number~~, ~~date~~
405-919###Etisalat DB###Mumbai###~~text~~, ~~number~~, ~~date~~
405-920###Etisalat DB###Punjab###~~text~~, ~~number~~, ~~date~~
405-921###Etisalat DB###Rajasthan###~~text~~, ~~number~~, ~~date~~
405-922###Etisalat DB###Tamilnadu###~~text~~, ~~number~~, ~~date~~
405-923###Etisalat DB###Uttar Pradesh (East)###~~text~~, ~~number~~, ~~date~~
405-924###Etisalat DB###Uttar Pradesh (West)###~~text~~, ~~number~~, ~~date~~
405-925###Unitech Wireless###Tamilnadu###~~text~~, ~~number~~, ~~date~~
405-926###Unitech Wireless###Mumbai###~~text~~, ~~number~~, ~~date~~
405-927###Unitech Wireless###Gujarat###~~text~~, ~~number~~, ~~date~~
405-928###Unitech Wireless###Madhya Pradesh###~~text~~, ~~number~~, ~~date~~
405-929###Unitech Wireless###Maharashtra###~~text~~, ~~number~~, ~~date~~
405-930###Etisalat DB###Bihar###~~text~~, ~~number~~, ~~date~~
405-931###Etisalat DB###Madhya Pradesh###~~text~~, ~~number~~, ~~date~~
405-932###VIDEOCON (HFCL)-GSM###Punjab###~~text~~, ~~number~~, ~~date~~
